Question,Answer,Category,Language
Rice leaves turning yellow,Check nitrogen deficiency and irrigation schedule. Apply Urea (46-0-0) in split doses.,Crops & Soil,en
Tomato leaf curl,Inspect for whitefly infestation and apply neem oil spray at 5ml/litre water.,Crops & Soil,en
Paddy after heavy rain,Improve drainage immediately to prevent waterlogging. Open field bunds on lower side.,Crops & Soil,en
How to prevent heat wave damage,Apply surface mulching to conserve root moisture. Water crops in early morning before 8 AM.,Weather,en
Crop yellow spots on leaves,Inspect leaves for fungal Rust. Apply neem oil or copper oxychloride 3g/litre early.,Crops & Soil,en
When to harvest wheat,Harvest wheat when grain moisture drops to 14%. Grains should be hard and golden yellow.,Crops & Soil,en
How to improve soil pH,Add agricultural lime (calcium carbonate) to raise pH. Add sulphur to lower pH. Retest after 30 days.,Crops & Soil,en
Cotton bollworm treatment,Apply Chlorpyrifos 20 EC at 2ml/litre water. Use pheromone traps to monitor infestation levels.,Crops & Soil,en
Drip irrigation benefits,Drip irrigation saves 40-60% water compared to flood irrigation. Reduces fungal root diseases significantly.,Weather,en
Groundnut leaf spot,Apply Mancozeb 75 WP at 2g/litre water every 10 days. Remove and destroy infected leaves immediately.,Crops & Soil,en
धान के पत्ते पीले हो रहे हैं,नाइट्रोजन की कमी और सिंचाई अनुसूची की जांच करें। यूरिया (46-0-0) को विभाजित खुराक में डालें।,Crops & Soil,hi
सूखे का सामना कैसे करें,जड़ की नमी बनाए रखने के लिए मल्चिंग करें और सुबह 8 बजे से पहले सिंचाई करें।,Weather,hi
गेहूं की फसल कब काटें,जब दाने का नमी 14% हो जाए और दाने कड़े और सुनहरे हो जाएं तब कटाई करें।,Crops & Soil,hi
कपास में इल्ली का उपचार,क्लोरपाइरीफोस 20 ईसी 2 मिली/लीटर पानी में मिलाकर छिड़काव करें।,Crops & Soil,hi
मिट्टी का पीएच कैसे सुधारें,पीएच बढ़ाने के लिए चूना और घटाने के लिए सल्फर मिलाएं। 30 दिन बाद पुनः परीक्षण करें।,Crops & Soil,hi
मौसम कब साफ होगा,मौसम अलर्ट के अनुसार आगामी 24 घंटे में आसमान साफ होने की संभावना है।,Weather,hi
नेल्लिन्टे ഇലകൾ മഞ്ഞനിറमാകുന്നു,നൈട്രജന്റെ കുറവും നനയ്ക്കുന്ന സമയക്രമവും പരിശോധിക്കുക. യൂറിയ ഘട്ടം ഘട്ടമായി ഇടുക.,Crops & Soil,ml
ചൂടുതരംഗത്തിൽ നിന്ന് വിളകളെ സംരക്ഷിക്കാൻ,മണ്ണ് മൂടൽ (mulching) ഉപയോഗിക്കുക. ജലസേചനം രാവിലെ 8 മണിക്ക് മുൻപ് നടത്തുക.,Weather,ml
നെൽകൃഷിയിൽ ശേഷം ഉണ്ടാകുന്ന ജലക്കെട്ട്,ഉടൻ വെള്ളക്കെട്ട് ഒഴിവാക്കാൻ തോട് തുറക്കുക. ജലനിർഗ്ഗമന ചാലുകൾ വൃത്തിയാക്കുക.,Crops & Soil,ml
వరి ఆకులు పసుపు రంగులోకి మారుతున్నాయి,నత్రజని లోపం మరియు నీటిపారుదల షెడ్యూల్‌ను తనిఖీ చేయండి. యూరియాను విడిగా వేయండి.,Crops & Soil,te
వేసవిలో పంటలను కాపాడటం,మట్టిని కప్పి ఉంచండి మరియు ఉదయం 8 గంటల లోపల నీరు పెట్టండి.,Weather,te
గోధుమ నూర్పిడి ఎప్పుడు?,గింజ తేమ 14% కి తగ్గినప్పుడు మరియు గింజలు గట్టిగా బంగారు రంగుగా మారినప్పుడు కోయండి.,Crops & Soil,te
